workplace_id,census_no,institution_category_id,authority_id,language_id,gender_id,institution_types_id,grade_span_id,district_id,zeo_wp_id,deo_wp_id,name,address,phone
INS0000020,20,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,MAHAWATTA ST. ANTHONY'S SINHALA V.,"299, JAYANTHA MALLIMARACHCHI MW, MAHAWATTA, COLOMBO 14",112524550
INS0000021,21,ICID001,AUID02,SLID01,IGID02,ITID04,GSID01,DIS023,ZEO0000001,DEO0000001,MADAMPITIYA ST. ANTHONY'S B.P.V.,"MADAMPITIYA, MODARA, COLOMBO 15",112520757
INS0000022,22,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000001,AGAMETHI VIDYALAYA,"BLOEMENDHAL RD, COLOMBO 15",
INS0000023,23,ICID001,AUID01,SLID04,IGID03,ITID01,GSID06,DIS023,ZEO0000001,DEO0000002,KOTAHENA M.M.V.,"MAHA VIDYALA MW, COLOMBO 13",112324275
INS0000024,24,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,SRI SANGARAJA M.M.V.,"SANGARAJA MW, COLOMBO 10",112438094
INS0000025,25,ICID001,AUID02,SLID01,IGID01,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,MAHABODHI M.V.,"43, FOSTER LANE, COLOMBO 10",112694684
INS0000026,26,ICID001,AUID02,SLID01,IGID01,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,DEMATAGODA RAJASINGHE M.V.,"BASELINE RD, DEMATAGODA, COLOMBO 09",112695113
INS0000027,27,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,MIHINDU MAWATHA SINHALA M.V.,"MIHINDU MW, COLOMBO 12",112320998
INS0000028,28,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,SIRI SARIPUTHTHA M.V.,"VITHANAGE MW, COLOMBO 02",112304785
INS0000029,29,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,VIJAYABA M.V.,"STACE RD, COLOMBO 14",112348843
INS0000030,30,ICID001,AUID02,SLID01,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,GRANDPASS ST. JOSEPH'S B.M.V.,"ST. JOSEPH'S STREET, GRANDPASS, COLOMBO 14",112327240
INS0000031,31,ICID001,AUID02,SLID01,IGID01,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,GRANDPASS ST. JOSEPH'S BOYS VIDYALAYA,"ST. JOSEPH'S PLACE, GRANDPASS, COLOMBO 14",112337560
INS0000032,32,ICID001,AUID02,SLID03,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,WOLFENDHAL B.M.V.,"02, VIVEKANANDA HILL, COLOMBO 13",112431921
INS0000033,33,ICID001,AUID02,SLID01,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,DEMATAGODA ST. ANTHONY'S B.M.V.,"ST. ANTHONY'S MW, DEMATAGODA, COLOMBO 09",112685640
INS0000034,34,ICID001,AUID02,SLID01,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,CLIFTON B.V.,"MALIGAKANDA RD, COLOMBO 10",112694489
INS0000035,35,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,HOLY ROSARY R.C.SINHALA V.,"56, CHURCH STREET, COLOMBO 02",112328099
INS0000036,36,ICID001,AUID02,SLID01,IGID02,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,VIHARAMAHA DEVI B.V.,"DEENS RD, COLOMBO 10",112699375
INS0000037,37,ICID001,AUID02,SLID01,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000002,HEMAMALI B.V.,"34, SRI SADDHARMA MW, COLOMBO 10",112687629
INS0000038,38,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,ST. MARY'S VIDYALAYA,"VIVEKANANDA KANDA RD, COLOMBO 13",
INS0000039,39,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000001,DEO0000002,HARWARD VIDYALAYA,"DAM STREET, COLOMBO 12",112327233
INS0000040,40,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,JAYANTHI VIDYALAYA,"SUWARNA CHAIYTHYA RD, COLOMBO 14",112439966
INS0000041,41,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000001,DEO0000002,KOTAHENA SINHALA K.V.,"200, MAHA VIDYALAYA MW, COLOMBO 13",112434878
INS0000042,42,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,A.E.GUNASINGHA V.,COLOMBO 12,
INS0000043,43,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000001,DEO0000002,ST. SEBASTIAN SINHALA V.,"SILVER SMITH LANE, COLOMBO 12",112399554
INS0000044,44,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000002,SIR BARON JAYATHILAKA V.,"MALIGAWATTA, COLOMBO 10",112336753
INS0000045,45,ICID001,AUID01,SLID06,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO ROYAL COLLEGE,COLOMBO 07,112691029
INS0000046,46,ICID001,AUID01,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO ANANDA COLLEGE,COLOMBO 10,112695503
INS0000047,47,ICID001,AUID01,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO NALANDA COLLEGE,COLOMBO 10,112695227
INS0000048,48,ICID001,AUID01,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO THURSTAN COLLEGE,COLOMBO 07,112695423
INS0000049,49,ICID001,AUID02,SLID01,IGID01,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,DEMATAGODA ST. MATHEWS COLLEGE,"DEMATAGODA, COLOMBO 09",112698709
INS0000050,50,ICID001,AUID01,SLID04,IGID02,ITID01,GSID06,DIS023,ZEO0000001,DEO0000004,COLOMBO ANANDA B.V.,"REV. SUMANGALA NAHIMI MW, COLOMBO 10",112695385
INS0000051,51,ICID001,AUID01,SLID04,IGID02,ITID01,GSID06,DIS023,ZEO0000001,DEO0000004,COLOMBO GOTHAMI B.V.,COLOMBO 10,112691576
INS0000052,52,ICID001,AUID02,SLID01,IGID01,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,DEMATAGODA ST. JOHN'S COLLEGE,"DEMATAGODA, COLOMBO 09",112696951
INS0000053,53,ICID001,AUID02,SLID01,IGID03,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,SEEVALI M.M.V.,"SEEVALI LANE, COLOMBO 08",112695884
INS0000054,54,ICID001,AUID02,SLID01,IGID01,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,SUSAMAYAWARDHANA M.V.,"AUSTIN PL, COLOMBO 08",112694302
INS0000055,55,ICID001,AUID02,SLID01,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,ANURUDDHA B.V.,"BASELINE RD, COLOMBO 09",112694930
INS0000056,56,ICID001,AUID02,SLID01,IGID01,ITID04,GSID01,DIS023,ZEO0000001,DEO0000004,MAHINDA VIDYALAYA,"ANANDA MW, COLOMBO 10",112678586
INS0000057,57,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO YASODARA B.V.,"KYNSEY RD, COLOMBO 08",112693985
INS0000058,58,ICID001,AUID02,SLID06,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,PRESBYTEERIAN GIRL'S SCHOOL,"REGENT ST, COLOMBO 10",112691927
INS0000059,59,ICID001,AUID02,SLID04,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,RATHNAWALI B.M.V.,"PARK AVENUE, COLOMBO 08",112692544
INS0000060,60,ICID001,AUID01,SLID06,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO D.S.SENANAYAKE COLLEGE,COLOMBO 07,112698251
INS0000061,61,ICID001,AUID02,SLID04,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000004,ALL SAINTS' B.M.V.,"ANANDA RAJAKARUNA MW, COLOMBO 10",112697881
INS0000062,62,ICID001,AUID02,SLID01,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,VELUWANA COLLEGE,COLOMBO-09,112693334
INS0000063,63,ICID001,AUID02,SLID01,IGID02,ITID04,GSID01,DIS023,ZEO0000001,DEO0000004,SRI SANGHAMITHTHA B.V.,"62, ANANDA RAJAKARUNA MW, COLOMBO 10",112699257
INS0000064,64,ICID001,AUID02,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,COLOMBO ASOKA V.,COLOMBO 10,112691075
INS0000065,65,ICID001,AUID02,SLID04,IGID03,ITID01,GSID04,DIS023,ZEO0000001,DEO0000004,C.W.W.KANNANGARA V.,"DR. DENISTER DE SILVA MW, COLOMBO 08",112686112
INS0000066,66,ICID001,AUID01,SLID04,IGID02,ITID01,GSID06,DIS023,ZEO0000001,DEO0000003,COLOMBO DEVI B.V.,COLOMBO 08,112691857
INS0000067,67,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,NARAHENPITA SUJATHA B.V.,"NARAHENPITA, COLOMBO 05",112502210
INS0000068,68,ICID001,AUID02,SLID01,IGID01,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,ARETHUSA V.,"DAYA RD, COLOMBO 06",112589649
INS0000069,69,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,SRI PARAKRAMABAHU M.V.,"NARAHENPITA, COLOMBO 05",112502125
INS0000070,70,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,MAHAMATHYA V.,"POLHENGODA, COLOMBO 05",112515383
INS0000071,71,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,SRI SADDHARMODAYA M.V.,"POORWARAMA RD, KIRULAPONE, COLOMBO 05",112818516
INS0000072,72,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,S.W.R.D. BANDARANAYAKE VIDYALAYA,"GOTHAMI RD, COLOMBO 08",112676565
INS0000073,73,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,THIMBIRIGASYAYA VIDYATHILAKA V.,"THIMBIRIGASYAYA, COLOMBO 05",112505280
INS0000074,74,ICID001,AUID01,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,COLOMBO SIRIMAVO BANDARANAYAKE BALIKA VIDYALAYA,COLOMBO 07,112258110
INS0000076,76,ICID001,AUID02,SLID04,IGID03,ITID02,GSID04,DIS023,ZEO0000001,DEO0000003,DUDLEY SENANAYAKA V.,"PARK RD, COLOMBO 05",112589558
INS0000077,77,ICID001,AUID01,SLID06,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,COLOMBO ISIPATHANA COLLEGE,COLOMBO-05,112588526
INS0000078,78,ICID001,AUID01,SLID04,IGID03,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,COLOMBO LUMBINI VIDYALAYA,"HAVELOCK TOWN, COLOMBO 05",114385241
INS0000079,79,ICID001,AUID01,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,COLOMBO MAHANAMA COLLEGE,COLOMBO 03,112577789
INS0000080,80,ICID001,AUID01,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,MILAGIRIYA ST. PAUL'S GIRL'S SCHOOL,"MILAGIRIYA, COLOMBO 05",112588221
INS0000081,81,ICID001,AUID01,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,COLOMBO VISAKHA V.,COLOMBO 05,112588229
INS0000082,82,ICID001,AUID02,SLID06,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000003,ST. ANTHONY'S B.M.V.,"ST. ANTHONY'S MW, COLOMBO 03",112573390
INS0000083,83,ICID001,AUID02,SLID03,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000003,WELLAWATTA ST. CLARE'S B.M.V.,"1ST CHAPEL LANE, COLOMBO 06",112501835
INS0000084,84,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000001,DEO0000003,BAMBALAPITIYA LINDSEY B.V.,"GALLE RD, COLOMBO 03",112581378
INS0000087,87,ICID001,AUID02,SLID04,IGID02,ITID02,GSID04,DIS023,ZEO0000001,DEO0000003,ST. MARY'S B.M.V.,"ALWIS PLACE, COLOMBO 03",112449973
INS0000088,88,ICID001,AUID02,SLID01,IGID01,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,ST. MICHAEL'S COLLEGE,"KOLLUPITYA, COLOMBO 03",112424234
INS0000090,90,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000001,DEO0000003,ST. MARY'S SINHALA MIXED VIDYALAYA,"R.A.DE MEL MW, COLOMBO 04",112502823
INS0000093,93,ICID001,AUID02,SLID04,IGID03,ITID01,GSID06,DIS023,ZEO0000004,DEO0000012,S.DE.S. JAYASINGHE CENTRAL COLLEGE,"ANAGARIKA DHARMAPALA MW, KARAGAMPITIYA, DEHIWELA",112717070
INS0000094,94,ICID001,AUID02,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,NUGEGODA ST. JOHN'S COLLEGE,"HIGHLEVEL RD, NUGEGODA",112854875
INS0000096,96,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,DEHIWALA HOLY FAMILY CONVENT,"100, GALLE RD, DEHIWALA",112738901
INS0000097,97,ICID001,AUID02,SLID01,IGID03,ITID02,GSID04,DIS023,ZEO0000004,DEO0000012,KALUBOWILA BUDDHAGHOSHA M.V.,"KALUBOWILA, DEHIWALA",114943364
INS0000098,98,ICID001,AUID01,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,DEHIWALA PRESBYTEERIAN B.V.,"MAJOR L.V.GUNARATNA MW, DEHIWALA",112714494
INS0000099,99,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,NUGEGODA ST. JOSEPH'S B.V.,"HIGH LEVEL RD, NUGEGODA",112854172
INS0000100,100,ICID001,AUID02,SLID01,IGID01,ITID03,GSID03,DIS023,ZEO0000004,DEO0000012,DEHIWALA ST. MARY'S COLLEGE,"ATAPATTU MW, DEHIWALA",112733177
INS0000102,102,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,DEHIWALA METHODIST VIDYALAYA,"ANAGARIKA DARMAPALA MW, DEHIWALA",
INS0000103,103,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,KARAGAMPITIYA VIJAYA V.,KARAGAMPITIYA DEHIWALA,
INS0000104,104,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000004,DEO0000012,SUBODHA MODEL JUNIOR SCHOOL,"SUBODHARAMA RD, DEHIWALA",112719770
INS0000110,110,ICID001,AUID02,SLID01,IGID02,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,MOUNT LAVINIA BUDDHIST GIRLS' COLLEGE,"STATION RD, MOUNT LAVINIA",112712619
INS0000111,111,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,MOUNT LAVINIA GIRLS' HIGH SCHOOL,"74, HOTEL RD, MOUNT LAVINIA",112715412
INS0000112,112,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,RATMALANA SRI DHARMARAMA V.,"DHARMARAMA RD, RATMALANA",112735759
INS0000113,113,ICID001,AUID02,SLID01,IGID03,ITID02,GSID06,DIS023,ZEO0000004,DEO0000012,KOTHALAWALAPURA M.V.,RATMALANA,112611751
INS0000114,114,ICID001,AUID01,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,MOUNT LAVINIA SCIENGE COLLEGE,"TEMPLERS RD, MOUNT LAVINIA",112713033
INS0000116,116,ICID001,AUID02,SLID01,IGID03,ITID02,GSID04,DIS023,ZEO0000004,DEO0000012,SHASTHRANANDA M.V.,"BROADWAY, KAWDANA, DEHIWALA",112739192
INS0000117,117,ICID001,AUID02,SLID01,IGID01,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,CHRIST CHURCH COLLEGE,"AUBURN PLACE, DEHIWALA",114957017
INS0000118,118,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000004,DEO0000012,ST. ANTHONY'S JUNIOR SCHOOL,"ST.ANTHONY'S RD, MT. LAVINIA",
INS0000119,119,ICID001,AUID02,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000004,DEO0000012,MOUNT LAVINIA LALITH ATHULATHMUDALI COLLEGE,"HENA RD, MOUNT LAVINIA",112714221
INS0000120,120,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,RATHMALANA SRI ATHTHADASSI VIDYALAYA,"JAYASUMANARAMA RD, RATHMALANA",
INS0000121,121,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,RATHMALANA SRI GNANENDRA V.,"SRI GNANENDRA RD, RATHMALANA",112612524
INS0000122,122,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,RATHMALANA ROMAN CATHOLIC SCHOOL,"ST. RITA'S RD, RATHMALANA",112735861
INS0000123,123,ICID001,AUID02,SLID01,IGID03,ITID02,GSID04,DIS023,ZEO0000004,DEO0000012,KANDAWALA NAVODYA V.,"KANDAWALA RD, RATHMALANA",112632136
INS0000124,124,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,ATTIDIYA MODEL PRIMARY SCHOOL,"ATTIDIYA, DEHIWALA",112712944
INS0000125,125,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,KAVIDHAJA V.,RATHMALANA,112739981
INS0000126,126,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000004,DEO0000012,SRI PUNYAKAMI VIDYALAYA,"GNANATHILAKA RD, MOUNT LAVINIA",112712264
INS0000127,127,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000004,DEO0000012,DHARMODAYA V.,"STATION RD, MT. LAVINIA",112734446
INS0000129,129,ICID001,AUID01,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000003,DEO0000008,KOLONNAWA BALIKA VIDYALAYA,"SUGUNASARA RD, KOLONNAWA",112572017
INS0000130,130,ICID001,AUID02,SLID01,IGID03,ITID01,GSID04,DIS023,ZEO0000003,DEO0000008,SEDAWATTA SIDDHARTHA CENTRAL COLLEGE,WELLAMPITIYA,112532599
INS0000131,131,ICID001,AUID01,SLID01,IGID03,ITID02,GSID06,DIS023,ZEO0000003,DEO0000008,MULLERIYAWA SRI RAJASINGHE CENTRAL COLLEGE,"KUDA BUTHGAMUWA, MULLERIYAWA NEW TOWN",112419137
INS0000132,132,ICID001,AUID02,SLID04,IGID03,ITID02,GSID04,DIS023,ZEO0000003,DEO0000008,MULLERIYAWA SRI RAHULA MAHA VIDYALAYA,MULLERIYAWA NEW TOWN,112578097
INS0000133,133,ICID001,AUID02,SLID01,IGID01,ITID03,GSID03,DIS023,ZEO0000003,DEO0000008,TERRENCE N DE SILVA MAHA VIDYALAYA,KOLONNAWA,112531645
INS0000134,134,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000003,DEO0000008,GOTHATUWA MAHA VIDYALAYA,"GOTHATUWA, ANGODA",112530886
INS0000135,135,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000003,DEO0000008,AMBATHALE TIKIRI KUMARA VIDYALAYA,MULLERIYAWA NEW TOWN,112569110
INS0000136,136,ICID001,AUID02,SLID01,IGID02,ITID02,GSID04,DIS023,ZEO0000003,DEO0000008,AMBATHALE SAMUDRADEVI BALIKA VIDYALAYA,MULLERIYAWA NEW TOWN,112578747
INS0000137,137,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000003,DEO0000008,KUDABUTHGAMUWA DHARMAPALA MAHA VIDYALAYA,"PASAL PATUMAGA, MULLERIYAWA NEW TOWN",115730789
INS0000138,138,ICID001,AUID02,SLID01,IGID02,ITID03,GSID03,DIS023,ZEO0000003,DEO0000008,SKUDABUTHGAMUWA SOMADEVI BALIKA VIDYALAYA,"KUDABUTHGAMUWA, ANGODA",112419065
INS0000139,139,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000003,DEO0000008,KOTUWILA GAMINI VIDYALAYA,"KOTUWILA, WELLAMPITIYA",112572749
INS0000140,140,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000003,DEO0000008,KOLONNAWA ST. JOSEPH COLLEGE,"KOLONNAWA, WELLAMPITIYA",112531915
INS0000142,142,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000003,DEO0000008,VIDYAWARDANA VIDYALAYA,"WELLAMPITIYA, KOLONNAWA",115730793
INS0000144,144,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000003,DEO0000008,KOTIKAWATTA ROMAN CATHOLIC VIDYALAYA,KOTIKAWATTA,112578665
INS0000145,145,ICID001,AUID02,SLID01,IGID03,ITID03,GSID03,DIS023,ZEO0000003,DEO0000008,"DHARMAVIJAYA VIDYALAYA, WELLAMPITIYA",WELLAMPITIYA,
INS0000146,146,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000003,DEO0000008,TIBET S. MAHINDA VIDYALAYA,"WENNAWATTA, WELLAMPITIYA",112531361
INS0000147,147,ICID001,AUID02,SLID04,IGID03,ITID02,GSID04,DIS023,ZEO0000003,DEO0000008,HENRY OLCOTT MAHA VIDYALAYA,"SALAMULLA, KOLONNAWA",112532277
INS0000148,148,ICID001,AUID01,SLID04,IGID01,ITID01,GSID04,DIS023,ZEO0000003,DEO0000009,KOTTE ANANDA SHASTHRALAYA,KOTTE,112828489
INS0000149,149,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000003,DEO0000009,KOTTE ANANDA BALIKA MAHA VIDYALAYA,"PAGODA RD, KOTTE",113086178
INS0000150,150,ICID001,AUID01,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000003,DEO0000009,NUGEGODA ANULA VIDYALAYA,NUGEGODA,112852980
INS0000151,151,ICID001,AUID02,SLID04,IGID02,ITID01,GSID04,DIS023,ZEO0000003,DEO0000009,NUGEGODA SAMUDRADEVI BALIKA VIDYALAYA,NUGEGODA,112852688
INS0000152,152,ICID001,AUID01,SLID04,IGID03,ITID01,GSID04,DIS023,ZEO0000003,DEO0000009,KOTTE CMS SRI JAYAWARDHANAPURA V.,KOTTE,112862528
INS0000154,154,ICID001,AUID02,SLID04,IGID03,ITID02,GSID04,DIS023,ZEO0000003,DEO0000009,KOTTE ST. THOMAS COLLEGE,KOTTE,112852083
INS0000155,155,ICID001,AUID02,SLID01,IGID03,ITID04,GSID01,DIS023,ZEO0000003,DEO0000009,SRI WIJAYARAMA M.V.,"UDAHAMULLA, NUGEGODA",112802976
